id,modularity_class
Adams,1
Brown,1
Carter,1
Cruz,1
Diaz,1
Hill,1
Hughes,1
James,1
King,1
Myers,1
Perez,1
Perry,1
Stewart,1
Taylor,1
Walker,1
Allen,3
Edwards,0
Evans,3
Gonzalez,3
Lopez,3
Ramirez,3
Reyes,3
Anderson,2
Bell,2
Campbell,2
Cook,2
Cox,2
Flores,2
Jenkins,2
Johnson,2
Moore,2
Morris,2
Phillips,2
Rodriguez,2
Russell,2
Smith,2
Bailey,1
Collins,1
Green,1
Lewis,1
Murphy,1
Rivera,1
Robinson,1
Watson,1
Wilson,1
Baker,3
Barnes,3
Long,3
Morales,3
Nguyen,3
Roberts,3
Wood,3
Miller,3
Price,3
Williams,3
Bennett,1
Hernandez,1
Jones,0
Morgan,1
Ortiz,0
Torres,0
Brooks,0
Hall,3
Howard,3
Nelson,0
Richardson,3
Rogers,3
Butler,3
Fisher,3
Clark,3
Martin,3
Turner,3
Ward,3
Cooper,3
Gomez,3
Kelly,3
Davis,3
Martinez,3
White,3
Harris,3
Lee,3
Jackson,3
Mitchell,3
Foster,3
Scott,3
Thomas,3
Garcia,3
Reed,3
Sanchez,3
Sanders,3
Young,3
Gray,2
Gutierrez,0
Sullivan,0
Wright,3
Peterson,3
Ross,1
Parker,4
Powell,3
Thompson,3
